Section,Section_1,Keyword,L1,L2
268,268_0,public nuisance,public nuisance, 
269,269_0,negligent act spread infection disease dangerous life,negligent spread infection disease,dangerous life
270,270_0,malignant act spread infection disease dangerous life,malignant spread infection disease,dangerous life
271A,271 A_0,disobeys quarantine rule vessel,violation rule vessel, 
272,272_1,adulteration intended sale drink,adulteration intended sale,drink
272,272_0,adulteration intended sale food,adulteration intended sale,food
273,273_1,sale noxious  drink,noxious sale,drink
273,273_0,sale noxious food,noxious sale,food
274,274_0,adulteration drugs,adulteration drugs, 
275,275_0,sale adulteration drugs,sale adulteration drugs, 
276,276_1,sale drugs medicinal purposes different  medical preparation,sale different drug medical preparation,medicinal purposes 
276,276_0,sale drugs medicinal purposes different drug ,sale different drug ,medicinal purposes 
277,277_1,fouling water  reservoir,fouling water  reservoir, 
277,277_0,fouling water public spring ,fouling water public spring , 
278,278_0,making atmosphere noxious health,making atmosphere noxious ,health
279,279_0,diving public way  negligent endanger human life,diving negligent endanger human life,public way 
279,279_1,diving public way rash endanger human life,diving rash endanger human life,public way 
279,279_2,diving public way  negligent hurt,diving negligent hurt,public way 
279,279_3,diving public way rash hurt,diving rash hurt,public way 
279,279_4,diving public way  negligent  injury,diving negligent  injury,public way 
279,279_5,diving public way rash   injury,diving rash   injury,public way 
280,280_1,navigation vessel  negligent endanger human life,navigation vessel  negligent endanger human life, 
280,280_2,navigation vessel rash endanger human life,navigation vessel rash endanger human life, 
280,280_3,navigation vessel  negligent hurt,navigation vessel  negligent hurt, 
280,280_4,navigation vessel rash hurt,navigation vessel rash hurt, 
280,280_5,navigation vessel  negligent  injury,navigation vessel  negligent  injury, 
280,280_0,navigation vessel rash  injury,navigation vessel rash  injury, 
281,281_2,exhibition mislead navigator  buoy,exhibition mislead navigator  buoy, 
281,281_1,exhibition mislead navigator  mark ,exhibition mislead navigator  mark , 
281,281_0,exhibition mislead navigator false light,exhibition mislead navigator false light, 
282,282_1,negligently conveying person water endanger human hire  vessel  overloaded,negligently conveying person water endanger human hire  vessel  overloaded, 
282,282_0,negligently conveying person water endanger human hire  vessel unsafe ,negligently conveying person water endanger human hire  vessel unsafe , 
283,283_1,public way  obstruction,public way  obstruction, 
283,283_0,public way danger ,public way danger , 
284,284_0,negligent conduct poisonous substance,negligent conduct poisonous , 
285,285_1,negligent conduct  combustible matter,negligent conduct  combustible matter, 
285,285_0,negligent conduct fire ,negligent conduct fire , 
286,286_0,negligent conduct explosive substance,negligent conduct explosive , 
287,287_0,negligent conduct machinery,negligent conduct machinery, 
288,288_1,negligent conduct  repairing buildings,negligent conduct  repairing buildings, 
288,288_0,negligent conduct pulling down,negligent conduct pulling down, 
289,289_0,negligent conduct animal,negligent conduct animal, 
290,290_0,nuisance,nuisance, 
291,291_0,continuance nuisance after injunction discontinue,nuisance, 
292,292_4,sale obscene  drawing,sale obscene  drawing, 
292,292_3,sale obscene  pamphlet,sale obscene  pamphlet, 
292,292_2,sale obscene  paper,sale obscene  paper, 
292,292_1,sale obscene  writing,sale obscene  writing, 
292,292_0,sale obscene book,sale obscene book, 
292A,292 A_2,printing blackmail  matter intended,printing blackmail  matter intended, 
292A,292 A_1,printing blackmail  scurrilous matter ,printing blackmail  scurrilous matter , 
292A,292 A_0,printing blackmail grossly indecent ,printing blackmail grossly indecent , 
293,293_0,sale obscene objects young person,sale obscene objects young person, 
294,294_1,obscene  songs,obscene  songs, 
294,294_0,obscene acts ,obscene acts , 
294A,294 A_1,keeping lottery  place,keeping lottery  place, 
294A,294 A_0,keeping lottery office,keeping lottery office, 
295,295_1,insult religion  defiling place worship,insult religion  defiling place worship, 
295,295_0,insult religion injuring ,insult religion injuring , 
295A,295 A_0,insult religion,insult religion, 
296,296_0,insult religion disturbing religious assembly,insult religion disturbing religious assembly, 
297,297_3,insult religion trespassing  depository remains dead,insult religion trespassing  depository remains dead, 
297,297_2,insult religion trespassing  funeral rites,insult religion trespassing  funeral rites, 
297,297_1,insult religion trespassing  sculpture,insult religion trespassing  sculpture, 
297,297_0,insult religion trespassing worship,insult religion trespassing worship, 
298,298_2,"insult religion wound the religious
feelings  makes gesture","insult religion wound  religious
feelings  makes gesture", 
298,298_1,"insult religion wound the religious
feelings makes sound hearing ","insult religion wound  religious
feelings makes sound hearing ", 
298,298_0,"insult religion wound the religious
feelings utters any word ","insult religion wound  religious
feelings utters any word ", 
299,299_0,homicide,homicide, 
300,300_0,homicide,homicide, 
301,301_0,homicide,homicide, 
302,302_0,homicide,homicide, 
303,303_0,homicide,homicide, 
304,304_0,homicide,homicide, 
304A,304 A_1,death  rash act,death  rash act, 
304A,304 A_0,death negligence,death negligence, 
304B,304 B_3,death husband relative  harassment,death harassment,husband relative
304B,304 B_2,death husband relative cruelty,death cruelty,husband relative 
304B,304 B_1,dowry death  bodily injury,dowry death  bodily injury, 
304B,304 B_0,dowry death burns,dowry death burns, 
305,305_3,abetment suicide  idiot,abetment suicide  idiot, 
305,305_2,abetment suicide  insane person,abetment suicide  insane person, 
305,305_1,abetment suicide  intoxication,abetment suicide  intoxication, 
305,305_0,abetment suicide child,abetment suicide child, 
306,306_0,abetment suicide,abetment suicide, 
307,307_0,attempt murder,attempt murder, 
308,308_0,attempt commit culpable homicide,attempt commit culpable homicide, 
309,309_0,attempt commit suicide,attempt commit suicide, 
310,310_1,murder  child stealing,murder  child stealing, 
310,310_0,murder robbery,murder robbery, 
311,311_0,Thug,Thug, 
312,312_0,miscarriage,miscarriage, 
313,313_0,miscarriage without woman's consent,miscarriage without consent,woman's
